station_id,country,name,lat,lng,units,lw,mw,hw,rivers
by.24110508,DE,"Weißer Main @ Bad Berneck",50.038502,11.6747,cm,150,165,180,"Weißer Main / Waldschlucht"
by.24146505,DE,"Haßlach @ Neukenroth",50.3218,11.2847,cm,190,210,240,"Haßlach / Standardstrecke | Haßlach / Obere"
by.24160903,DE,"Itz @ Schönstädt",50.347198,11.0281,cm,180,210,250,"Itz / Obere"
by.56161509,DE,"Selbitz @ Hölle",50.3675,11.6911,cm,200,215,230,"Selbitz / Höllental"
rz.1221,DE,"Pöhlbach @ Wiesa",50.615299,13.0571,m³/s,6,12,20,"Pöhlbach / Pöhlagrund"
rz.1222,DE,"Wesenitz @ Elbersdorf",51.023201,13.9933,cm,60,80,110,"Wesenitz / Teufelskanal"
rz.1252,DE,"Dreisam @ Ebnet",47.987801,7.8988,cm,70,None,None,"Dreisam / Kirchzarten - Sandfangwehr | Dreisam / Sandfangwehr - Lehner Brücke | Wagensteigbach / Schwiegbrunnenmündung - Oberhalb Buchenbach | Wagensteigbach / Oberhalb Buchenbach - Kirchzarten | Ibentalbach / - Kirchzarten | Rotbach / Hinterzarten - Höllsteig | Höllenbach (Rotbach) / Höllsteig - Kirchzarten | Zastlerbach (Osterbach) / - Kirschzarten | Zastlerbach (Osterbach) / Kirschzarten - Waldsee | Brugga / - Oberried | Brugga / Oberried - Waldsee | St. Wilhelmer Talbach / Küfermateshof - L126"
rz.1321,DE,"Breg @ Hammereisenbach",47.9897,8.3534,cm,70,None,None,"Breg / "
rz.1344,DE,"Ilz @ Schrottenbaummühle",48.7313,13.4392,m³/s,8,20,35,"Ilz / Diessensteiner Leite"
rz.1348,DE,"Chemnitz @ Göritzhain",50.9692,12.7978,m³/s,10,30,40,"Chemnitz / Taura - Stein"
rz.1429,DE,"Zwickauer Mulde @ Neidhardtsthal 1",50.529701,12.6047,m³/s,8,15,22,"Zwickauer Mulde / Bockau - Aue"
rz.1679,DE,"Alb @ Albbruck by Swiss Canoe",47.590302,8.1293,cm,93,120,None,"Alb / Niedermühle - Ibachmündung | Alb / Ibachmündung - Tiefenstein | Alb / Tiefenstein - Albbruck"
