# pgnr,lat,lon - HND Bayern station coordinates (UTM32/ETRS89 stammdaten -> WGS84)
24742206,49.67303,8.99757
24744008,49.84133,9.05124
24751003,49.85881,9.28449
24752006,49.82719,9.21638
24758002,49.99499,9.18711
24766000,49.97368,8.98419
24772003,50.08265,9.24321
24776004,50.08623,9.06535
24782007,50.19882,9.18887
24783000,50.13235,8.94622
24807006,50.18225,8.74106
53201505,50.1299,11.99477
53202508,50.10163,12.21333
53216003,50.02147,12.10487
53216808,50.05468,12.1895
53216954,50.00379,12.10277
53222006,49.93301,12.29082
53224001,50.00434,12.31461
56000500,50.18623,11.84636
56001003,50.26282,11.93265
56001502,50.32403,11.9145
56113404,50.18385,11.89947
56113700,50.20101,11.90987
56114000,50.20129,11.90507
56116002,50.18012,11.97423
56116005,50.18838,11.97155
56121655,50.2576,12.07982
56121855,50.25688,12.05215
56122008,50.24544,12.01964
56131803,50.2729,11.89871
56132001,50.28329,11.92331
56142055,50.32145,12.07808
56143008,50.28578,11.98072
56161509,50.36756,11.69103
81617935,47.64098,11.59099
81842200,48.17189,12.73105
